action|action_type|disaster_type_title|disaster_type_detail|doc_page|doc_path|doc_title|doc_publisher|date_added|context_geography|context_usertype
Contact your insurance company for more information about the impacts of backwater valves on insurance coverage.|risk transferrence|flooding|Backwater valves|12|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Visit peelregion.ca or call 905-791-7800 for more information about backwater valves and to learn more about what you can do to prevent basement flooding in your home.|risk avoidance|flooding|Backwater valves|12|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|Country=Canada,Province=Ontario,City=Mississauga|citizen
Visually check the valve.|risk avoidance|flooding|Backwater valves|13|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Open the top and clean out any debris, if needed.|risk avoidance|flooding|Backwater valves|13|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Check the flapper for free movement up and down.|risk avoidance|flooding|Backwater valves|13|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Do not store your important valuables or documents in the basement. Keep them at a higher level, protected from flood damage.|risk mitigation|flooding|Backwater valves|14|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Keep basement floor drains clear of obstructions.|risk mitigation|flooding|Backwater valves|14|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Elevate the furnace, water heater and other large appliances, and your electrical panel in your home if you live in an area that is prone to flooding.|risk mitigation|flooding|Backwater valves|14|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Make sure you and your family members know what the hazards and risks are in the area you live.|risk mitigation|flooding|Before a Flood|14|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Make sure everyone in your family knows what to do before, during and after an emergency such as a flood.|risk mitigation|flooding|Before a Flood|14|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Hold a family meeting to discuss how you can best prepare for an emergency.|risk planning|flooding|Before a Flood|14|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Have a plan.|risk planning|flooding|Before a Flood|14|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
If you live alone, develop a plan for yourself with links to neighbours and friends.|risk planning|flooding|Before a Flood|14|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Keep a copy of your plan in a safe place, such as your Family Emergency Go-Kit.|risk planning|flooding|Before a Flood|14|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Photocopy your plan and keep it in your car and/or at work.|risk planning|flooding|Before a Flood|14|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Assemble a 72 hour Go-Kit to use during an evacuation of your home or community.|risk planning|flooding|Before a Flood|14|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Make sure everyone living in the home knows where to find the Go-Kit.|risk planning|flooding|Before a Flood|14|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
To prepare for a flood, you may want to include some additional protective equipment in your Go-Kit including|risk planning|flooding|Before a Flood|15|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Always have your cell phone charged and in a location that makes it easy to grab if you must evacuate your home.|risk planning|flooding|Before a Flood|15|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Make sure your family emergency plan includes ALL your family members.|risk planning|flooding|Before a Flood|16|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Prepare a pet emergency survival kit and keep it with your family kit|risk planning|flooding|Before a Flood|16|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Be sure to check the expiry date of your contents twice a year.|risk planning|flooding|Before a Flood|16|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Please contact your veterinarian or visit ontariospca.ca if you have any questions.|risk planning|flooding|Before a Flood|16|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|Country=Canada,Province=Ontario,City=Mississauga|citizen
Take a household inventory or video so you can use it as part of your insurance claim if you ever experience flood or other damage in your home.|risk planning|flooding|Before a Flood|17|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Talk to your insurance representative to make sure you have appropriate coverage, because basement flooding and water damage are becoming more common.|risk planning|flooding|Before a Flood|17|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
If you do experience flood damage, you will need to provide a list of lost or damaged items as part of your insurance claim.|risk planning|flooding|Before a Flood|17|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Review your insurance policy so you understand what items to list.|risk planning|flooding|Before a Flood|17|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
If you had a household inventory or video before the disaster, retrieve it for the insurance adjuster.|risk planning|flooding|Before a Flood|17|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Check your eligibility at ontario.ca/disasterassistance|risk planning|flooding|Before a Flood|17|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|Country=Canada,Province=Ontario,City=Mississauga|citizen
For more insurance information and helpful how-to videos, visit getintheknow.ibc.ca.|risk planning|flooding|Before a Flood|17|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|Country=Canada,Province=Ontario,City=Mississauga|citizen
Contact your insurance representative to report the loss as quickly as possible and discuss insurance coverage available to you under your homeowner’s insurance policy.|disaster recovery|flooding|Before a Flood|18|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Take steps necessary to prevent further damage.|disaster recovery|flooding|Before a Flood|18|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Prepare your notice of claim in writing, and ensure it contains the following information:|disaster recovery|flooding|Before a Flood|18|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Submit all evidence in writing in a timely manner to your insurance representative who will commence coordination of any possible recovery.|diaster recovery|flooding|Before a Flood|18|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Gather any original purchase invoices or quotes for the damaged property and items.|disaster recovery|flooding|Before a Flood|18|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Request any communications or denial of your claim from the insurer be made in writing with a full explanation as to the justification for the decision.|disaster recovery|flooding|Before a Flood|18|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Review your policy wording and endorsements with your insurance representative to verify exactly what the insurer has committed to covering|disaster recovery|flooding|Before a Flood|18|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Monitor your local news for weather updates and special announcements from local officials.|risk mitigation|flooding|During a Flood|19|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
You can also check mississauga.ca or follow us on Twitter or Facebook.|risk mitigation|flooding|During a Flood|19|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|Country=Canada,Province=Ontario,City=Mississauga|citizen
Clear drains, gutters and downspouts of dead leaves and other debris.|risk avoidance|flooding|During a Flood|19|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Move furniture, electronics and items of sentimental value out of basements and lower levels of the home or raise them off the floor.|risk avoidance|flooding|During a Flood|19|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
To reduce the chances of rugs getting wet, roll them up and if possible, store them on higher floors.|risk avoidance|flooding|During a Flood|19|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Ensure sump pumps and backwater valves are working properly.|risk avoidance|flooding|During a Flood|19|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
If a sump pump has a battery backup, ensure the batteries are fresh and replace the batteries as required|risk avoidance|flooding|During a Flood|19|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Make sure basement windows are closed.|risk avoidance|flooding|During a Flood|19|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Ensure that generators, hoses and portable pumps are maintained and accessible should they be required.|risk avoidance|flooding|During a Flood|19|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Always operate gas powered equipment in a well ventilated outdoor area.|risk avoidance|flooding|During a Flood|19|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Keep yourself, children and pets away from standing water and downed power lines.|risk avoidance|flooding|During a Flood|19|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Protect your safety and do not drive or walk through floodwaters.|risk avoidance|flooding|During a Flood|19|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Leave your home if there are any signs of potential foundation and structural damage, including to porch roofs and overhangs.|risk avoidance|flooding|During a Flood|19|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Do not travel in flood impacted areas.|risk avoidance|flooding|During a Flood|19|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Keep yourself, family and pets away from flood waters.|risk avoidance|flooding|During a Flood|19|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Do not enter a flood area unless wearing appropriate personal protective equipment and clothing.|risk avoidance|flooding|During a Flood|19|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
For your protection, you may decide it is necessary for you to evacuate your home or an area impacted by flooding.|risk avoidance|flooding|During a Flood|20|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
If you expect you might need to evacuate during an emergency, keep phone lines open for use by emergency workers and monitor local radio, TV, and the Internet for emergency instructions and current information.|risk avoidance|flooding|During a Flood|20|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Also be sure to follow instructions from officials and evacuate immediately if asked.|risk avoidance|flooding|During a Flood|20|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Travel only on routes specified by officials—a shortcut could take you to a blocked or dangerous area.|risk avoidance|flooding|During a Flood|20|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Take your Go-Kit (refer to Before a Flood for more details), medications, and needed supplies with you in the event of an extended evacuation.|risk avoidance|flooding|During a Flood|20|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
If it is safe to do so, shut off water, gas and electricity in your home.|risk avoidance|flooding|During a Flood|20|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
If not, evacuate your home but do not go back inside until a utility company has confirmed it is safe|risk avoidance|flooding|During a Flood|20|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Check to see if your neighbours require assistance.|risk avoidance|flooding|During a Flood|20|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Leave a note if you have time (in a mailbox if you have one) telling others when you left and where you went.|risk avoidance|flooding|During a Flood|20|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
If you are evacuated, register with the authorities at the evacuation or reception centre so you can be contacted and reunited with your family and loved ones.|risk avoidance|flooding|During a Flood|20|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
If you are evacuated, register with the authorities at the evacuation or reception centre so you can be contacted and reunited with your family and loved ones.|risk avoidance|flooding|During a Flood|20|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
If you are going somewhere other than a designated centre, register with the centre, notifying them of your whereabouts.|risk avoidance|flooding|During a Flood|20|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Sign up for Mississauga weather alerts|risk avoidance|flooding|During a Flood|20|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|Country=Canada,Province=Ontario,City=Mississauga|citizen
Get the latest forecasts and hazardous weather conditions at weather.gc.ca.|risk avoidance|flooding|During a Flood|20|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|Country=Canada,Province=Ontario,City=Mississauga|citizen
Take precautions to prevent illness and injury before you enter any area that has been flooded.|risk avoidance|flooding|During a Flood|21|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Assume that everything touched by floodwaters is contaminated.|risk avoidance|flooding|During a Flood|21|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Stay clear unless your skin is covered and you are wearing protective clothing such as coveralls, rubber boots, gloves and masks.|risk avoidance|flooding|During a Flood|21|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Keep children and pets away from flooded areas and contaminated items.|risk avoidance|flooding|During a Flood|21|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Before entering your home, check for foundation and structural damage and make sure all porch roofs and overhangs are supported.|risk avoidance|flooding|During a Flood|21|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
If you suspect any damage, leave your home until a professional such as a building inspector or structural engineer has confirmed it is safe to re-enter.|risk avoidance|flooding|During a Flood|21|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
If you notice any gas odours, evacuate your home and contact the gas company or fire department.|risk avoidance|flooding|During a Flood|21|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Keep yourself, family and pets away from flood waters.|risk avoidance|flooding|During a Flood|21|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Do not enter a flood area unless wearing appropriate personal protective equipment and clothing.|risk avoidance|flooding|During a Flood|21|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Only if it is safe to do so, turn off electricity in your home at the main breaker or fuse box.|risk avoidance|flooding|During a Flood|21|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Report your flood by dialing 311 or 905-615-4311 if outside city limits.|disaster recovery|flooding|After a Flood|22|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|Country=Canada,Province=Ontario,City=Mississauga|citizen
Call your insurance company as soon as possible|disaster recovery|flooding|After a Flood|22|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Report any damage caused by the flooding.|disaster recovery|flooding|After a Flood|22|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Call in professionals such as a damage restoration company to have the area cleaned properly.|disaster recovery|flooding|After a Flood|22|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Where possible, take measures to dry your home quickly to prevent further damage and mould growth.|disaster recovery|flooding|After a Flood|22|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Where possible, take measures to dry your home quickly to prevent further damage and mould growth.|disaster recovery|flooding|After a Flood|22|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
If you had to evacuate your home, stay tuned to your local radio or television station or dial 311 or 905-615-4311 if outside city limits to find out when it is safe to return home.|disaster recovery|flooding|After a Flood|22|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|Country=Canada,Province=Ontario,City=Mississauga|citizen
You can also visit mississauga.ca for updates.|disaster recovery|flooding|After a Flood|22|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|Country=Canada,Province=Ontario,City=Mississauga|citizen
You will be notified if the municipal drinking water is unsafe to drink.|disaster recovery|flooding|After a Flood|22|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Don’t drive or walk through floodwaters.|disaster recovery|flooding|After a Flood|22|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Stay away from downed powerlines.|disaster recovery|flooding|After a Flood|22|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Assume that everything touched by floodwaters is contaminated.|disaster recovery|flooding|After a Flood|22|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Keep children and pets away from flooded areas and contaminated items.|disaster recovery|flooding|After a Flood|22|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
When you do return home, go with someone else and carry a cell phone.|disaster recovery|flooding|After a Flood|22|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
Check for foundation and structural damage.|disaster recovery|flooding|After a Flood|22|Actions\A_Residential_Guide_to_Flood_Prevention_and_Recovery.pdf|A Residential Guide to Flood Prevention and Recovery|The city of Mississauga|2019-10-08|any|citizen
